domain,brand,group,industry,fine_vertical,ax_ratio,discovery,tranco_rank,training_presence,citation_breadth,in_matched_core,has_ground_truth
acquirepad.com,Acquirepad,ax-high,Fintech & Payments,payments-fintech,0.6522,0.3333,974596,0.0,0.0,0,0
affinity.co,Affinity,ax-high,Sales & Marketing,martech-sales,0.68,0.769,30432,0.3,0.25,1,1
affirm.com,Affirm,ax-low,Fintech & Payments,payments-fintech,0.41,0.6666666666666666,2849,0.75,0.5,1,1
ahrefs.com,Ahrefs,ax-high,Analytics,data-analytics,0.67,0.688,2062,1.0,0.7,1,1
airtable.com,Airtable,ax-low,Collaboration & Productivity,productivity,0.48,0.875,2908,1.0,0.65,1,1
aptible.com,Aptible,ax-high,IT Infrastructure,infra-cloud,0.6842,0.2941,677018,0.75,0.425,0,0
asana.com,Asana,ax-high,Collaboration & Productivity,productivity,0.65,0.882,2186,1.0,0.725,1,1
attio.com,Attio,ax-high,Sales & Marketing,martech-sales,0.86,0.385,56515,0.75,0.35,1,1
basecamp.com,Basecamp,ax-low,Collaboration & Productivity,productivity,0.37,0.438,5867,1.0,0.9,1,1
bear.app,Bear,ax-low,Collaboration & Productivity,productivity,0.3509,0.3846,175411,0.3,0.275,0,0
bill.com,BILL,ax-high,Fintech & Payments,payments-fintech,0.67,0.375,6954,0.45,0.65,1,1
bland.ai,Bland,ax-high,Artificial Intelligence,ai,0.7869,0.5385,254161,0.0,1.0,0,0
box.com,Box,ax-high,Collaboration & Productivity,productivity,0.7,0.6153846153846154,708,0.75,0.575,1,1
brevo.com,Brevo,ax-low,Sales & Marketing,martech-sales,0.24,0.812,2751,0.75,0.95,1,1
browserbase.com,Browserbase,ax-high,Development,dev-tools,0.7097,0.5385,101965,0.6,0.45,0,0
builder.io,Builder.io,ax-low,Development,dev-tools,0.44,0.231,17933,0.75,0.7,1,1
chargebee.com,Chargebee,ax-high,Fintech & Payments,payments-fintech,0.75,1.0,13906,1.0,0.325,1,1
chime.com,Chime,ax-low,Fintech & Payments,payments-fintech,0.28,0.438,14169,0.75,0.3,1,1
circleci.com,CircleCI,ax-high,Development,dev-tools,0.71,0.875,10607,0.75,0.625,1,1
clickup.com,ClickUp,ax-high,Collaboration & Productivity,productivity,0.7,0.706,2367,1.0,0.775,1,1
close.com,Close CRM,ax-high,Sales & Marketing,martech-sales,0.85,0.692,26259,0.6,0.525,1,1
coda.io,Coda (the doc platform),ax-low,Collaboration & Productivity,productivity,0.3,0.5,12479,0.875,0.575,1,1
codeberg.org,Codeberg,ax-low,Development,dev-tools,0.3704,0.5294,3858,0.75,0.425,0,0
coinbase.com,Coinbase,ax-low,Fintech & Payments,payments-fintech,0.09,0.8333333333333334,2078,0.75,0.325,1,1
coincodex.com,CoinCodex,ax-low,Analytics,data-analytics,0.4138,0.1765,38127,0.6,0.325,0,0
conduktor.io,Conduktor,ax-high,Development,dev-tools,0.8906,0.6842,586476,0.75,0.25,0,0
confidentlims.com,ConfidentLIMS,ax-low,Collaboration & Productivity,productivity,0.4737,0.5833,148727,0.0,0.075,0,0
confluent.io,Confluent,ax-high,IT Infrastructure,infra-cloud,0.79,0.4166666666666667,18858,0.75,0.25,1,1
datadoghq.com,Datadog,ax-high,IT Infrastructure,infra-cloud,0.68,0.75,320,0.75,0.275,1,1
docusign.com,DocuSign,ax-low,HR & Legal,hr-legal-ops,0.46,0.647,3252,0.75,0.7,1,1
dolby.com,Dolby,ax-low,Development,dev-tools,0.3962,0.4286,19980,0.75,0.325,0,0
doordash.com,DoorDash,ax-low,Consumer,consumer-sub,0.2,0.75,2407,0.75,0.525,1,1
elevenlabs.io,ElevenLabs,ax-high,Artificial Intelligence,ai,0.83,0.875,3980,0.75,0.4,1,1
exonet.nl,Exonet,ax-low,IT Infrastructure,infra-cloud,0.4468,0.1429,32981,0.0,0.025,0,0
featureupvote.com,FeatureUpvote,ax-low,Collaboration & Productivity,productivity,0.0526,0.1667,405408,0.3,0.0,0,0
figure.com,Figure,ax-high,Fintech & Payments,payments-fintech,0.7258,0.1765,90606,0.45,0.35,0,0
firezone.dev,Firezone,ax-high,Security,security-identity,0.8136,0.6154,181167,0.7,0.35,0,0
forter.com,Forter,ax-high,Security,security-identity,0.93,0.824,271,0.75,0.4,1,1
front.com,Front,ax-low,Customer Service,comms-support,0.46,0.5,109979,0.45,0.925,1,1
gameguardian.net,GameGuardian,ax-low,Consumer,consumer-sub,0.1667,0.25,59591,0.6,0.125,0,0
gamma.app,Gamma,ax-low,Collaboration & Productivity,productivity,0.29,0.538,4061,0.4,0.7,1,1
getcollate.io,Collate,ax-high,Analytics,data-analytics,0.6615,0.1176,593519,0.0,0.175,0,0
gojiberry.ai,Gojiberry,ax-low,Artificial Intelligence,ai,0.4,0.2727,477048,0.0,0.725,0,0
hashicorp.com,HashiCorp,ax-low,IT Infrastructure,infra-cloud,0.31,0.812,4679,0.75,0.325,1,1
helpscout.com,Help Scout,ax-low,Customer Service,comms-support,0.46,0.8333333333333334,20508,0.75,0.25,1,1
hubspot.com,HubSpot,ax-high,Sales & Marketing,martech-sales,0.66,0.647,249,1.0,0.3,1,1
inet-web.com,inet-web,ax-low,IT Infrastructure,infra-cloud,0.4643,0.25,272815,0.0,0.05,0,0
insightly.com,Insightly,ax-low,Sales & Marketing,martech-sales,0.0357,0.4762,64011,0.75,0.5,0,0
intercom.com,Intercom,ax-high,Customer Service,comms-support,0.67,0.692,1889,1.0,0.7,1,1
kaltura.com,Kaltura,ax-high,Customer Service,comms-support,0.6552,0.5294,4746,0.75,0.375,0,0
kapa.ai,Kapa,ax-high,Artificial Intelligence,ai,0.6984,0.2353,125238,0.3,1.0,0,0
klarna.com,Klarna,ax-low,Fintech & Payments,payments-fintech,0.46,0.6666666666666666,2187,1.0,0.45,1,1
