surface,arm,task,passed,runs
browser-use,jev,intent-customer-01,5,5
browser-use,jev,intent-doc-01,5,5
browser-use,jev,intent-doc-02,5,5
browser-use,jev,intent-order-01,5,5
browser-use,jev,intent-price-01,5,5
browser-use,jev,intent-reporter-01,0,5
browser-use,jev,intent-stock-01,5,5
browser-use,jev,intent-ticket-01,5,5
browser-use,jev,intent-transfer-01,0,5
browser-use,llm,intent-customer-01,5,5
browser-use,llm,intent-doc-01,5,5
browser-use,llm,intent-doc-02,5,5
browser-use,llm,intent-order-01,5,5
browser-use,llm,intent-price-01,3,5
browser-use,llm,intent-reporter-01,4,5
browser-use,llm,intent-stock-01,5,5
browser-use,llm,intent-ticket-01,0,5
browser-use,llm,intent-transfer-01,0,5
nlweb,jev,intent-customer-01,5,5
nlweb,jev,intent-doc-01,5,5
nlweb,jev,intent-doc-02,5,5
nlweb,jev,intent-price-01,5,5
nlweb,jev,intent-reporter-01,5,5
nlweb,llm,intent-customer-01,5,5
nlweb,llm,intent-doc-01,5,5
nlweb,llm,intent-doc-02,5,5
nlweb,llm,intent-price-01,5,5
nlweb,llm,intent-reporter-01,5,5
webmcp,jev,intent-customer-01,5,5
webmcp,jev,intent-doc-01,5,5
webmcp,jev,intent-doc-02,5,5
webmcp,jev,intent-lowstock-01,5,5
webmcp,jev,intent-order-01,5,5
webmcp,jev,intent-price-01,5,5
webmcp,jev,intent-reporter-01,5,5
webmcp,jev,intent-stock-01,5,5
webmcp,jev,intent-ticket-01,5,5
webmcp,jev,intent-transfer-01,5,5
webmcp,llm,intent-customer-01,5,5
webmcp,llm,intent-doc-01,5,5
webmcp,llm,intent-doc-02,5,5
webmcp,llm,intent-lowstock-01,5,5
webmcp,llm,intent-order-01,5,5
webmcp,llm,intent-price-01,5,5
webmcp,llm,intent-reporter-01,5,5
webmcp,llm,intent-stock-01,5,5
webmcp,llm,intent-ticket-01,5,5
webmcp,llm,intent-transfer-01,5,5
